,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
303,LDST_250430-0033_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:31:17.51,,2460796.5633971067
217,LDST_250430-0034_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:32:23.07,,2460796.5641559027
198,LDST_250430-0034_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:33:27.35,,2460796.564899884
30,LDST_250430-0034_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:34:31.86,,2460796.565646528
250,LDST_250430-0034_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:35:36.03,,2460796.566389236
182,LDST_250430-0035_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:36:41.72,,2460796.567149537
168,LDST_250430-0035_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:37:46.00,,2460796.5678935186
75,LDST_250430-0035_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:38:50.22,,2460796.5686368058
33,LDST_250430-0035_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:39:54.54,,2460796.56938125
295,LDST_250430-0036_R.fit,LDST_250430,R*,LIGHT,2025-05-01T01:41:00.31,,2460796.570142477
280,LDST_250430-0036_G.fit,LDST_250430,G*,LIGHT,2025-05-01T01:42:04.65,,2460796.5708871526
120,LDST_250430-0036_B.fit,LDST_250430,B*,LIGHT,2025-05-01T01:43:09.01,,2460796.57163206
176,LDST_250430-0036_Halpha.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T01:44:13.33,,2460796.5723765045
191,LDST_250430-0012_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:20:36.85,,2460796.597648727
301,LDST_250430-0012_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:21:41.13,,2460796.598392708
193,LDST_250430-0012_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:22:45.42,,2460796.5991368056
195,LDST_250430-0012_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:23:49.61,,2460796.5998797454
196,LDST_250430-0013_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:24:55.42,,2460796.600641435
292,LDST_250430-0013_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:25:59.77,,2460796.6013862267
186,LDST_250430-0013_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:27:04.17,,2460796.602131597
162,LDST_250430-0013_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:28:08.42,,2460796.6028752313
199,LDST_250430-0014_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:29:14.21,,2460796.60363669
243,LDST_250430-0014_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:30:18.56,,2460796.6043814817
211,LDST_250430-0014_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:31:22.97,,2460796.6051269677
137,LDST_250430-0014_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:32:27.23,,2460796.6058707177
209,LDST_250430-0015_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:33:33.09,,2460796.606632986
236,LDST_250430-0015_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:34:37.51,,2460796.607378588
206,LDST_250430-0015_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:35:42.13,,2460796.608126505
177,LDST_250430-0015_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:36:46.33,,2460796.60886956
214,LDST_250430-0016_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:37:52.00,,2460796.6096296296
268,LDST_250430-0016_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:38:56.34,,2460796.6103743054
229,LDST_250430-0016_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:40:00.59,,2460796.61111794
72,LDST_250430-0016_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:41:04.73,,2460796.611860301
226,LDST_250430-0017_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:42:10.48,,2460796.612621296
260,LDST_250430-0017_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:43:14.72,,2460796.613364815
222,LDST_250430-0017_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:44:19.01,,2460796.614108912
267,LDST_250430-0017_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:45:23.20,,2460796.614851852
245,LDST_250430-0018_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:46:28.88,,2460796.615612037
202,LDST_250430-0018_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:47:33.23,,2460796.6163568287
240,LDST_250430-0018_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:48:37.65,,2460796.6171024307
21,LDST_250430-0018_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:49:41.93,,2460796.617846412
231,LDST_250430-0019_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:50:47.69,,2460796.618607523
208,LDST_250430-0019_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:51:52.00,,2460796.6193518518
249,LDST_250430-0019_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:52:56.32,,2460796.620096296
297,LDST_250430-0019_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:54:00.55,,2460796.620839699
37,LDST_250430-0020_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:55:06.26,,2460796.6216002316
93,LDST_250430-0020_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T02:56:10.50,,2460796.62234375
57,LDST_250430-0020_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T02:57:14.80,,2460796.623087963
228,LDST_250430-0020_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T02:58:18.93,,2460796.6238302086
50,LDST_250430-0021_Rstar.fit,LDST_250430,R*,LIGHT,2025-05-01T02:59:24.68,,2460796.624591204
83,LDST_250430-0021_Gstar.fit,LDST_250430,G*,LIGHT,2025-05-01T03:00:28.98,,2460796.6253354168
44,LDST_250430-0021_Bstar.fit,LDST_250430,B*,LIGHT,2025-05-01T03:01:33.30,,2460796.626079861
119,LDST_250430-0021_Halphastar.fit,LDST_250430,H_alpha,LIGHT,2025-05-01T03:02:37.53,,2460796.6268232637
51,LDST_250430-0006_Bflat.fit,LDST_250430,B*,FLAT,2025-05-01T03:32:05.40,,2460796.6472847224
43,LDST_250430-0007_Bflat.fit,LDST_250430,B*,FLAT,2025-05-01T03:32:15.97,,2460796.64740706
110,LDST_250430-0008_Bflat.fit,LDST_250430,B*,FLAT,2025-05-01T03:32:26.60,,2460796.6475300924
123,LDST_250430-0009_Bflat.fit,LDST_250430,B*,FLAT,2025-05-01T03:32:37.60,,2460796.6476574074
294,LDST_250430-0010_Bflat.fit,LDST_250430,B*,FLAT,2025-05-01T03:32:48.26,,2460796.647780787
99,LDST_250430-0006_Gflat.fit,LDST_250430,G*,FLAT,2025-05-01T03:39:01.79,,2460796.652104051
85,LDST_250430-0007_Gflat.fit,LDST_250430,G*,FLAT,2025-05-01T03:39:12.50,,2460796.6522280094
60,LDST_250430-0008_Gflat.fit,LDST_250430,G*,FLAT,2025-05-01T03:39:23.69,,2460796.6523575233
70,LDST_250430-0009_Gflat.fit,LDST_250430,G*,FLAT,2025-05-01T03:39:34.01,,2460796.652476968
185,LDST_250430-0010_Gflat.fit,LDST_250430,G*,FLAT,2025-05-01T03:39:44.97,,2460796.6526038195
35,LDST_250430-0006_Rflat.fit,LDST_250430,R*,FLAT,2025-05-01T03:40:29.49,,2460796.653119097
45,LDST_250430-0007_Rflat.fit,LDST_250430,R*,FLAT,2025-05-01T03:40:39.92,,2460796.6532398146
115,LDST_250430-0008_Rflat.fit,LDST_250430,R*,FLAT,2025-05-01T03:40:50.88,,2460796.6533666668
106,LDST_250430-0009_Rflat.fit,LDST_250430,R*,FLAT,2025-05-01T03:41:01.81,,2460796.653493171
298,LDST_250430-0010_Rflat.fit,LDST_250430,R*,FLAT,2025-05-01T03:41:12.65,,2460796.653618634
161,LDST_250430-0001_Halphaflat.fit,LDST_250430,H_alpha,FLAT,2025-05-01T03:52:10.16,,2460796.661228704
255,LDST_250430-0002_Halphaflat.fit,LDST_250430,H_alpha,FLAT,2025-05-01T03:52:25.98,,2460796.6614118055
58,LDST_250430-0003_Halphaflat.fit,LDST_250430,H_alpha,FLAT,2025-05-01T03:52:38.66,,2460796.6615585648
69,LDST_250430-0004_Halphaflat.fit,LDST_250430,H_alpha,FLAT,2025-05-01T03:52:51.30,,2460796.661704861
266,LDST_250430-0005_Halphaflat.fit,LDST_250430,H_alpha,FLAT,2025-05-01T03:53:03.77,,2460796.66184919
66,LDST_250430-0015_dark.fit,LDST_250430,ND1.2,LIGHT,2025-05-01T03:54:12.95,,2460796.6626498844
238,LDST_250430-0016_dark.fit,LDST_250430,ND1.2,LIGHT,2025-05-01T03:59:15.86,,2460796.666155787
