,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILENAME,OBJECT,FILTER,IMAGETYP,DATE-OBS,EXP-TIME,JD
36,36.0,36.0,36.0,176.0,LDST_250430-0005_GFLAT.fit,LDST_250430,G*,FLAT,2025-04-30T19:20:19.46,,2460796.305780787
37,37.0,37.0,37.0,27.0,LDST_250430-0001_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:25:58.30,,2460796.3097025463
38,38.0,38.0,38.0,16.0,LDST_250430-0002_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:26:09.25,,2460796.3098292826
39,39.0,39.0,39.0,2.0,LDST_250430-0003_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:26:20.19,,2460796.309955903
40,40.0,40.0,40.0,135.0,LDST_250430-0004_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:26:30.51,,2460796.310075348
41,41.0,41.0,41.0,111.0,LDST_250430-0005_BFLAT.fit,LDST_250430,B*,FLAT,2025-04-30T19:26:41.23,,2460796.3101994214
42,42.0,42.0,42.0,461.0,LDST_250430-0001_LFLAT.fit,LDST_250430,Lum,FLAT,2025-04-30T19:29:36.17,,2460796.3122241898
43,43.0,43.0,43.0,419.0,LDST_250430-0002_LFLAT.fit,LDST_250430,Lum,FLAT,2025-04-30T19:29:46.53,,2460796.312344097
44,44.0,44.0,44.0,431.0,LDST_250430-0003_LFLAT.fit,LDST_250430,Lum,FLAT,2025-04-30T19:29:57.29,,2460796.3124686345
45,45.0,45.0,45.0,495.0,LDST_250430-0004_LFLAT.fit,LDST_250430,Lum,FLAT,2025-04-30T19:30:07.87,,2460796.312591088
46,46.0,46.0,46.0,515.0,LDST_250430-0005_LFLAT.fit,LDST_250430,Lum,FLAT,2025-04-30T19:30:19.01,,2460796.312720023
47,47.0,47.0,47.0,480.0,LDST_250430-0001_R.fit,LDST_250430,R*,LIGHT,2025-04-30T20:45:00.06,,2460796.364584028
48,48.0,48.0,48.0,444.0,reduced_M82_R*_41.fits,M82,R*,REDUCED,2025-04-30T20:45:00.06,,2460796.364584028
49,49.0,49.0,49.0,362.0,reduced_M82_G*_42.fits,M82,G*,REDUCED,2025-04-30T20:46:04.32,,2460796.365327778
50,50.0,50.0,50.0,504.0,LDST_250430-0001_G.fit,LDST_250430,G*,LIGHT,2025-04-30T20:46:04.32,,2460796.365327778
51,51.0,51.0,51.0,138.0,reduced_M82_B*_43.fits,M82,B*,REDUCED,2025-04-30T20:47:08.89,,2460796.366075116
52,52.0,52.0,52.0,161.0,LDST_250430-0001_B.fit,LDST_250430,B*,LIGHT,2025-04-30T20:47:08.89,,2460796.366075116
53,53.0,53.0,53.0,199.0,LDST_250430-0001_HALPHA.fit,LDST_250430,H_alpha,LIGHT,2025-04-30T20:48:13.04,,2460796.3668175926
54,54.0,54.0,54.0,115.0,reduced_M82_H_alpha_44.fits,M82,H_alpha,REDUCED,2025-04-30T20:48:13.04,,2460796.3668175926
